"Periodo","# Clicks","# Registros IN","# Primer depósito IN","Total depositado IN","# Personas que apostaron IN","Total apostado","Net revenue IN"
2022-08-04,3,NA,NA,NA,NA,NA,NA
2022-08-08,1,NA,NA,NA,NA,NA,NA
2022-08-09,1,NA,NA,NA,NA,NA,NA
2022-11-03,NA,0,0,194.5249,1,194.5249,160.4830425
2022-11-04,NA,0,0,0,1,44.17412175,6.67520062
2022-11-05,NA,0,0,0,1,27.94059948,-38.2647512767777
2022-11-06,NA,0,0,0,1,66.0878811946329,66.0878811946329
2022-11-08,NA,0,0,97.72458,1,368.705058338217,78.179664
2022-11-09,NA,0,0,0,1,50.9031416,-66.3626207775815
2022-11-10,NA,0,0,0,1,83.70114048,31.9691856
2022-11-11,3,NA,NA,NA,NA,NA,NA
2022-11-11,NA,0,0,0,1,14.3870284174792,14.3870284174792
2022-11-12,NA,0,0,0,1,132.728663721789,24.1008022869619
2022-11-13,NA,0,0,0,1,75.78181395,14.03366925
2022-11-16,1,NA,NA,NA,NA,NA,NA
2022-11-20,NA,0,0,18.622702,1,18.622702,-4.84190252
2022-11-21,NA,0,0,0,1,50.2161148070151,-32.3930728115744
2022-11-22,NA,0,0,0,1,247.90164830106,36.5257691794598
2022-11-23,10655,423,143,1380.4593123,41,1566.3155437,-1443.88323331909
2022-11-23,NA,0,0,18.69781,1,37.2105106544902,-0.364607304348905
2022-11-24,18707,1324,659,14503.859019311,782,46617.388221605,-5748.41928455651
2022-11-24,NA,0,0,0,1,55.3889526611777,-24.97507097
2022-11-25,9705,112,64,2093.40688584,559,18538.0519884165,3308.86954675406
2022-11-25,NA,0,0,0,1,159.568145841528,63.1533095093807
2022-11-26,8711,53,54,4840.99487158273,502,17486.1085069919,-2026.83782556556
2022-11-27,7980,43,37,3343.945184415,493,25492.0394645793,716.959308189211
2022-11-28,8217,30,42,5848.12292633342,598,34299.0987261411,7.52758604051717
2022-11-29,6208,14,25,2913.77202938918,442,27821.0417073445,-1435.05823535748
2022-11-30,6647,17,28,3008.93302449947,465,29197.0932800748,965.427480316932
2022-12-01,6103,20,24,2007.4095393,422,27792.2575447057,4149.77536691953
2022-12-01,NA,0,0,19.00866,1,78.5057658,-4.9025997082188
2022-12-02,6758,41,33,6426.18315760562,510,33717.9693044827,1239.06546687585
2022-12-03,5270,18,22,4666.35710826282,381,19612.8792838981,1305.30792984712
